lexeme;class;frequency;semantics
сродно;;1;
ссавець;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА тварини
стабілізація;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА процес//Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена
стабільний;А;1;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд якісних пр//Прикметник ОЦІНКА позитивна
стабільність;К;2;Іменник НЕПРЕДМЕТНІ ІМЕНА властивість предметів
став;;2;
ставати;Г;155;Дієслово положення тіла у просторі//Дієслово буттєва сфера//Дієслово рух//Дієслово соціальна діяльність//Дієслово зміна стану або ознаки//Дієслово розташування об'єкта//Дієслово поміщення об'єкта//Дієслово ментальна сфера//Дієслово суспільно-політична діяльність//Дієслово буттєва сфера припинення існування//Дієслово якісний стан//Дієслово посесивна сфера//Дієслово буттєва сфера початок існування//Дієслово сприйняття//Дієслово зміна положення тіла, частини тіла
ставатися;Г;16;Дієслово буттєва сфера
ставити;Г;10;Дієслово положення тіла у просторі//Дієслово соціальна діяльність//Дієслово розташування об'єкта//Дієслово поміщення об'єкта//Дієслово соціальні відношення//Дієслово творення, створення//Дієслово ментальна сфера
ставитися;Г;6;Дієслово міжособистісні відношення//Дієслово буттєва сфера//Дієслово творення, створення//Дієслово якісний стан
ставлення;Л;2;Іменник НЕПРЕДМЕТНІ ІМЕНА поведінка і вчинки людини//Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА захід
ставляти;Г;1;Дієслово положення тіла у просторі
ставний;А;1;Прикметник розряд якісних пр//Прикметник розряд якісних пр фізіологічний стан//Прикметник розряд якісних пр якості людини//Прикметник ОЦІНКА позитивна//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
ставок;Й;2;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ вмістилище//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви
стадій;Й;6;Іменник НЕПРЕДМЕТНІ ІМЕНА одиниця виміру
стадіон;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стадія;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА час//Іменник НЕПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частина//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стадо;Л;4;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів//Іменник ПРЕДМЕТНІ ІМЕНА тварини//Іменник ПРЕДМЕТНІ ІМЕНА особа
стаєнка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви//Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стаєтьгя;;1;
стайка;К;1;
стайня;К;1;Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди
сталагміт;Й;1;
сталактит;Й;1;
сталевий;А;1;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних//Прикметник розряд якісних пр//Прикметник розряд якісних пр фізичні якості//Прикметник розряд якісних пр фізичні якості колір//Прикметник розряд якісних пр якості людини//Прикметник ОЦІНКА позитивна
сталий;А;2;Прикметник розряд якісних пр//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд якісних пр фізичні якості форма//Прикметник розряд якісних пр розмір
сталий;К;1;
Сталін;й;4;Іменник ВЛАСНІ ІМЕНА прізвища
сталкер;;2;
сталь;К;1;Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали
стан;Й;33;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої механізми, прилади, пристрої//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини тіла і органи людини//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини механізмів і приладів//Іменник НЕПРЕДМЕТНІ ІМЕНА умова//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини транспортних засобів//Іменник НЕПРЕДМЕТНІ ІМЕНА поняття//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої одяг, взуття, прикраси
стандарт;Й;1;Іменник НЕПРЕДМЕТНІ ІМЕНА норма, правило
стандартний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд якісних пр
станиславів;;1;
станиславів;U;2;
станиславівський;;1;
станиславова;;6;
станиславові;U;1;
Станіслав;й;6;Іменник ВЛАСНІ ІМЕНА імена
Станіславові;й;1;
Станіславська;К;1;Іменник ВЛАСНІ ІМЕНА прізвища
Станіславський;й;1;Іменник ВЛАСНІ ІМЕНА прізвища
становити;Г;1;Дієслово творення, створення//Дієслово положення тіла у просторі
станути;Г;1;
станційка;К;1;
станційний;А;1;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
станція;К;30;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник НЕПРЕДМЕТНІ ІМЕНА заклад, організація, установа, компанія//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої транспортні засоби
стар;А;31;
стар;Й;6;
старанний;А;2;Прикметник розряд якісних пр//Прикметник ОЦІНКА позитивна//Прикметник розряд якісних пр якості людини
старанність;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА ознака//Іменник НЕПРЕДМЕТНІ ІМЕНА властивість людини
старанно;Н;4;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ОЦІНКА позитивна
старання;Л;4;Іменник НЕПРЕДМЕТНІ ІМЕНА психічна сфера//Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність
старатися;Г;5;Дієслово соціальна діяльність//Дієслово якісний стан
старезний;А;4;Прикметник розряд якісних пр//Прикметник СЛОВОТВІРНІ МІТКИ аугментатив(надмірна інтенсивність)//Прикметник розряд якісних пр час вік великий//Прикметник розряд якісних пр час вік//Прикметник розряд якісних пр час
старенький;А;3;Прикметник розряд якісних пр//Прикметник СЛОВОТВІРНІ МІТКИ димінутиви (суб'єктивна оцінка якості )//Прикметник розряд якісних пр час//Прикметник розряд якісних пр час вік великий
старець;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА особа
старий;А;36;Прикметник розряд якісних пр//Прикметник розряд якісних пр час//Прикметник розряд якісних пр час вік//Прикметник розряд якісних пр час вік великий
старий;Й;15;Іменник ПРЕДМЕТНІ ІМЕНА особа
Старі;Й;1;
старіння;Л;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА зміна стану або ознаки
старість;К;5;Іменник НЕПРЕДМЕТНІ ІМЕНА час період
старіший;А;1;Прикметник розряд якісних пр//Прикметник розряд якісних пр час//Прикметник розряд якісних пр час вік//Прикметник розряд якісних пр час вік великий
старо;;1;
старовина;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА подія, пригода//Іменник НЕПРЕДМЕТНІ ІМЕНА час період
стародавній;А;10;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
старомодний;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
староста;Й;2;Іменник ПРЕДМЕТНІ ІМЕНА особа
староста;К;2;
старший;А;9;Прикметник розряд якісних пр//Прикметник розряд якісних пр час//Прикметник розряд якісних пр час вік//Прикметник розряд якісних пр час вік великий//Прикметник розряд відносних
старший;Й;4;Іменник ПРЕДМЕТНІ ІМЕНА особа
старшина;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
старшокласник;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
стасюк;;1;
статевий;А;2;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
стати;Г;183;Дієслово зміна положення тіла, частини тіла//Дієслово буттєва сфера//Дієслово положення тіла у просторі//Дієслово рух//Дієслово буттєва сфера існування//Дієслово зміна стану або ознаки//Дієслово якісний стан
стати;Й;4;
статика;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище
статис;;1;
статися;Г;24;Дієслово буттєва сфера
статичність;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА ознака//Іменник НЕПРЕДМЕТНІ ІМЕНА параметр
стаття;К;9;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
статуетка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи) зображення//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви
статус;Й;4;Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище
статуя;К;1;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ фігура
стать;К;3;Іменник НЕПРЕДМЕТНІ ІМЕНА ознака//Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ фігура
стая;;6;
ства;;1;
стверджувати;Г;2;Дієслово ментальна сфера//Дієслово мовлення
ствердитися;Г;1;Дієслово ментальна сфера//Дієслово СЛОВОТВІРНІ МІТКИ вторинні імперфективи на -ува-, -ва-, -а-
створений;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ віддієслівні прикметники
створення;Л;2;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА фізичний вплив створення фізичного об'єкта//Іменник НЕПРЕДМЕТНІ ІМЕНА буттєва сфера в тому числі початок існування
створити;Г;7;Дієслово СЛОВОТВІРНІ МІТКИ вторинні імперфективи на -ува-, -ва-, -а-//Дієслово творення, створення//Дієслово мовлення//Дієслово буттєва сфера початок існування
створіння;Л;1;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ імена класів//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність
створювати;Г;5;Дієслово творення, створення//Дієслово буттєва сфера//Дієслово буттєва сфера початок існування
створюватися;Г;1;Дієслово буттєва сфера початок існування//Дієслово буттєва сфера
стебло;Л;10;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини рослин//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини механізмів і приладів
стегно;Л;2;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини тіла й органи тварин//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини тіла і органи людини
стегновий;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
стежечка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стежити;Г;2;Дієслово ментальна сфера//Дієслово соціальна діяльність//Дієслово якісний стан
стежка;К;25;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стекти;Г;3;Дієслово рух//Дієслово буттєва сфера//Дієслово фізіологічна сфера
стелаж;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої меблі, постіль//Іменник НЕПРЕДМЕТНІ ІМЕНА фінанси, гроші//Іменник НЕПРЕДМЕТНІ ІМЕНА взаємодія і взаємовідносини
стеля;К;11;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
стемніти;Г;2;Дієслово природне явище//Дієслово якісний стан
стенограма;К;1;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
степ;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник НЕПРЕДМЕТНІ ІМЕНА гра
Степанівна;к;1;Іменник ВЛАСНІ ІМЕНА по батькові
степовий;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
стереоти;;1;
стержень;Й;2;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини інструментів//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини механізмів і приладів
стерилізатор;Й;1;
стерильність;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА властивість предметів//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище
стерти;Г;1;Дієслово фізичний вплив
стертий;А;7;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
стертися;Г;2;Дієслово фізичний вплив//Дієслово якісний стан
стертості;;1;
Стефаник;й;7;Іменник ВЛАСНІ ІМЕНА прізвища
Стефанія;к;7;Іменник ВЛАСНІ ІМЕНА імена
стефановська;;1;
стидатися;Г;1;Дієслово якісний стан
стикатися;Г;1;Дієслово фізичний вплив//Дієслово відношення//Дієслово ментальна сфера
стилістика;К;3;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)//Іменник НЕПРЕДМЕТНІ ІМЕНА мовлення
стилістич;;1;
стилістичний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
стиль;Й;13;Іменник НЕПРЕДМЕТНІ ІМЕНА ознака//Іменник НЕПРЕДМЕТНІ ІМЕНА культура, мистецтво (напрями)//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої інструменти, знаряддя//Іменник НЕПРЕДМЕТНІ ІМЕНА метод (спосіб, напрям, прийом)
стимулюватися;Г;1;Дієслово соціальні відношення
стимулятор;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали
стипл-чез;;1;
стирання;Л;2;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА фізичний вплив знищення фізичного об'єкта
стирати;Г;4;Дієслово фізичний вплив//Дієслово творення, створення
стиратися;Г;6;Дієслово буттєва сфера//Дієслово якісний стан//Дієслово ментальна сфера
стирчати;Г;3;Дієслово якісний стан//Дієслово буттєва сфера//Дієслово розташування об'єкта
стискання;Л;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА фізичний вплив
стискати;Г;3;Дієслово фізичний вплив//Дієслово фізіологічна сфера//Дієслово якісний стан
стискатися;Г;3;Дієслово фізичний вплив//Дієслово фізіологічна сфера
стискувати;Г;1;Дієслово фізичний вплив//Дієслово фізіологічна сфера//Дієслово СЛОВОТВІРНІ МІТКИ семельфактиви
стислий;А;4;Прикметник розряд якісних пр//Прикметник розряд якісних пр розмір//Прикметник розряд якісних пр розмір малий
стислість;К;2;Іменник НЕПРЕДМЕТНІ ІМЕНА властивість предметів
стиснути;Г;4;Дієслово СЛОВОТВІРНІ МІТКИ семельфактиви//Дієслово фізичний вплив//Дієслово розташування об'єкта//Дієслово фізіологічна сфера
стиснутий;А;1;Прикметник СЛОВОТВІРНІ МІТКИ віддієслівні прикметники//Прикметник розряд відносних
стихійний;А;1;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд якісних пр
стихія;К;13;Іменник НЕПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частина//Іменник НЕПРЕДМЕТНІ ІМЕНА природне явище, небесні тіла
стишитися;Г;1;Дієслово СЛОВОТВІРНІ МІТКИ вторинні імперфективи на -ува-, -ва-, -а-//Дієслово звук
стійкий;А;1;Прикметник розряд якісних пр//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник ОЦІНКА позитивна//Прикметник розряд якісних пр якості людини
стійкість;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА ознака//Іменник НЕПРЕДМЕТНІ ІМЕНА властивість людини
стікати;Г;7;Дієслово буттєва сфера//Дієслово переміщення об'єкта//Дієслово фізіологічна сфера
стіл;Й;48;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої меблі, постіль//Іменник ПРЕДМЕТНІ ІМЕНА їжа і напої//Іменник НЕПРЕДМЕТНІ ІМЕНА заклад, організація, установа, компанія
стілець;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої меблі, постіль
стільки;М;6;Займенник неозначені
стільки;Н;19;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОБСТАВИННІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОБСТАВИННІ міра, ступінь//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ кількісно-означальні//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ кількісно-означальні мала кількість
стіна;К;64;Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник НЕПРЕДМЕТНІ ІМЕНА контакт й опора//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
стінка;К;4;Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої меблі, постіль
стіс;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
сто;Ч;13;Числівник означально-кількісні числівники//Числівник означально-кількісні числівники власне-кількісні
стовбур;Й;6;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини рослин//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник НЕПРЕДМЕТНІ ІМЕНА хвороба
стовп;Й;8;Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА ОЦІНКА (невизначена за ознакою ""позитивна/"негативна") позитивна
стовпник;Й;2;
стовпчик;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
стогін;Й;2;Іменник НЕПРЕДМЕТНІ ІМЕНА звук//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
стограмовий;А;1;
стокілометровий;А;1;Прикметник розряд відносних
столик;Й;7;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої меблі, постіль//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви
столикий;А;1;Прикметник розряд відносних
столикий;Й;2;
столиця;К;6;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
столичний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
столітній;А;2;Прикметник розряд відносних//Прикметник розряд якісних пр час//Прикметник розряд якісних пр час вік//Прикметник розряд якісних пр час вік абсолютний
століття;Л;29;Іменник НЕПРЕДМЕТНІ ІМЕНА час вік
столяр;Й;2;Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
стоматолог;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
стоп;;1;
стопа;К;1;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник НЕПРЕДМЕТНІ ІМЕНА одиниця виміру//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини тіла і органи людини//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини тіла й органи тварин
стопити;;1;
стопоподібні;;1;
сторінка;К;12;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник НЕПРЕДМЕТНІ ІМЕНА час період
сторож;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
сторожа;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА процес//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
сторожити;Г;2;Дієслово соціальна діяльність
сторожовий;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
сторона;К;15;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ горизонтальні поверхні//Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ лінія
сторонній;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
стосовно;П;14;Прийменник ОБ'ЄКТНІ//Прийменник ОБ'ЄКТНІ супроводжувальні
стосуватися;Г;24;Дієслово буттєва сфера
стосунки;И;7;Іменник НЕПРЕДМЕТНІ ІМЕНА взаємодія і взаємовідносини
стосунок;Й;6;Іменник НЕПРЕДМЕТНІ ІМЕНА взаємодія і взаємовідносини
стояння;Л;1;Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена
стояти;Г;88;Дієслово місцезнаходження//Дієслово міжособистісні відношення//Дієслово положення тіла у просторі//Дієслово буттєва сфера//Дієслово поміщення об'єкта//Дієслово соціальна діяльність//Дієслово буттєва сфера існування//Дієслово посесивна сфера//Дієслово якісний стан
стоятися;Г;1;
стра;;1;
страва;К;6;Іменник ПРЕДМЕТНІ ІМЕНА їжа і напої
страж;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
страждання;Л;3;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище//Іменник НЕПРЕДМЕТНІ ІМЕНА фізіологічна сфера//Іменник НЕПРЕДМЕТНІ ІМЕНА психічна сфера
страждати;Г;1;Дієслово фізіологічна сфера//Дієслово психічна сфера//Дієслово якісний стан
страсті;И;2;Іменник НЕПРЕДМЕТНІ ІМЕНА психічна сфера потяг, прагнення
стратегічний;А;6;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
стратегічно;Н;1;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники
стратегія;К;4;Іменник НЕПРЕДМЕТНІ ІМЕНА влада,управління
страх;Й;38;Іменник НЕПРЕДМЕТНІ ІМЕНА психічна сфера//Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище
страхування;Л;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА фінанси, гроші
страхувати;Г;2;Дієслово соціальна діяльність//Дієслово соціальні відношення
страшенний;А;3;Прикметник розряд відносних//Прикметник ОЦІНКА негативна//Прикметник СЛОВОТВІРНІ МІТКИ аугментатив(надмірна інтенсивність)
страшенно;Н;47;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОБСТАВИННІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОБСТАВИННІ міра, ступінь
страшити;Г;1;Дієслово якісний стан
страшний;А;12;Прикметник розряд відносних//Прикметник ОЦІНКА негативна//Прикметник розряд якісних пр якості людини
страшніший;А;1;Прикметник розряд відносних//Прикметник ОЦІНКА негативна
страшно;Н;9;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ОЦІНКА негативна//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ присудок, присудкове слово
стрес;Й;2;Іменник НЕПРЕДМЕТНІ ІМЕНА стан, становище//Іменник НЕПРЕДМЕТНІ ІМЕНА психічна сфера
стриб;;1;
